klc_index,kanji,heisig,english
853,歴,curriculum,"curriculum, continuation, passage of time "
111,武,warrior,"warrior, military, chivalry, arms "
246,政,politics,"politics, government "
1111,超,transcend,"transcend, super-, ultra- "
1112,越,surpass,"surpass, cross over, move to, exceed, Vietnam "
1609,建,build,build 
872,延,prolong,"prolong, stretching "
876,誕,nativity,"nativity, be born, declension, lie, be arbitrary "
700,衣,garment,"garment, clothes, dressing "
1317,裁,tailor,"tailor, judge, decision, cut out (pattern) "
1591,装,attire,"attire, dress, pretend, disguise, profess "
704,裏,back,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side "
1666,壊,demolition,"demolition, break, destroy "
1483,幅,hanging scroll,"hanging scroll, width "
1981,肺,lungs,lungs 
1232,帯,sash,"sash, belt, obi, zone, region "
1233,滞,stagnate,"stagnate, be delayed, overdue, arrears "
935,刺,thorn,"thorn, pierce, stab, prick, sting, calling card "
897,雲,cloud,cloud 
898,曇,cloudy weather,"cloudy weather, cloud up "
1578,橋,bridge,bridge 
578,泣,cry,"cry, weep, moan "
1204,競,vie,"emulate, compete with, bid, sell at auction, bout, contest, race "
1121,適,suitable,"suitable, occasional, rare, qualified, capable "
1122,敵,enemy,"enemy, foe, opponent "
124,背,stature,"stature, height, back, behind, disobey, defy, go back on, rebel "
123,比,compare,"compare, race, ratio, Philipines "
1427,皆,all,"all, everything "
1426,混,mix,"mix, blend, confuse "
1807,乾,drought,"drought, dry, dessicate, drink up, heaven, emperor "
864,腹,abdomen,"abdomen, belly, stomach "
1764,吹,blow,"blow, breathe, puff, emit, smoke "
689,軟,soft,soft 
1453,姿,figure,"figure, form, shape "
1265,賠,compensation,"compensation, indemnify "
1547,鏡,mirror,"mirror, speculum, barrel-head, round rice-cake offering "
1548,境,boundary,"boundary, border, region "
1066,望,ambition,"ambition, full moon, hope, desire, aspire to, expect "
1882,妨,disturb,"disturb, prevent, hamper, obstruct "
454,訪,call on,"call on, visit, look up, offer sympathy "
574,放,set free,"set free, release, fire, shoot, emit, banish, liberate "
575,激,violent,"violent, get excited, enraged, chafe, incite "
1227,贈,presents,"presents, send, give to, award to, confer on, presenting something "
1689,凍,frozen,"frozen, congeal, refrigerate "
1174,染,dye,"dye, color, paint, stain, print "
761,燃,burn,"burn, blaze, glow "
188,池,pond,"pond, cistern, pool, reservoir "
346,独,single,"single, alone, spontaneously, Germany "
430,起,rouse,"rouse, wake up, get up "
429,改,reformation,"reformation, change, modify, mend, renew, examine, inspect, search "
507,竜,dragon,"dragon, imperial "
497,美,beauty,"beauty, beautiful "
495,詳,detailed,"detailed, full, minute, accurate, well-informed "
190,集,gather,"gather, meet, congregate, swarm, flock "
191,進,advance,"advance, proceed, progress, promote "
1656,奮,stirred up,"stirred up, be invigorated, flourish "
1657,奪,rob,"rob, take by force, snatch away, dispossess, plunder, usurp "
1276,許,permit,"permit, approve "
1130,権,authority,"authority, power, rights "
1128,観,outlook,"outlook, look, appearance, condition, view "
1723,困,quandary,"quandary, become distressed, annoyed "
260,固,harden,"harden, set, clot, curdle "
649,団,group,"group, association "
694,庫,warehouse,"warehouse, storehouse "
878,庭,courtyard,"courtyard, garden, yard "
369,志,intention,"intention, plan, resolve, aspire, motive, hopes, shilling "
1939,患,afflicted,"afflicted, disease, suffer from, be ill "
683,想,concept,"concept, think, idea, thought "
1633,恐,fear,"fear, dread, awe "
1153,惑,beguile,"beguile, delusion, perplexity "
327,感,emotion,"emotion, feeling, sensation "
1634,怖,dreadful,"dreadful, be frightened, fearful "
1718,慎,humility,"humility, be careful, discrete, prudent "
1344,添,annexed,"annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate "
939,看,watch over,"watch over, see "
221,我,ego,"ego, I, selfish, our, oneself "
1639,抗,confront,"confront, resist, defy, oppose "
746,批,criticism,"criticism, strike "
1104,招,beckon,"beckon, invite, summon, engage "
1072,捨,discard,"discard, throw away, abandon, resign, reject, sacrifice "
1118,摘,pinch,"pinch, pick, pluck, trim, clip, summarize "
1832,挑,challenge,"challenge, contend for, make love to "
2150,推,conjecture,"conjecture, infer, guess, suppose, support "
1595,損,damage,"damage, loss, disadvantage, hurt, injure "
1071,拾,pick up,"pick up, gather, find, go on foot, ten "
554,拠,foothold,"foothold, based on, follow, therefore "
1824,描,sketch,"sketch, compose, write, draw, paint "
1809,操,maneuver,"maneuver, manipulate, operate, steer, chastity, virginity, fidelity "
2272,掲,put up a notice,"put up (a notice), put up, hoist, display, hang out, publish, describe "
653,財,property,"property, money, wealth, assets "
1786,携,portable,"portable, carry (in hand), armed with, bring along "
1760,及,reach out,"reach out, exert, exercise, cause "
1763,吸,suck,"suck, imbibe, inhale, sip "
1761,扱,handle,"handle, entertain, thresh, strip "
888,史,history,"history, chronicle "
891,硬,stiff,"stiff, hard "
1661,護,safeguard,"safeguard, protect "
2049,怒,angry,"angry, be offended "
1951,抜,slip out,"slip out, extract, pull out, pilfer, quote, remove, omit "
519,没,drown,"drown, sink, hide, fall into, disappear, die "
1026,撃,beat,"beat, attack, defeat, conquer "
2046,督,coach,"coach, command, urge, lead, supervise "
375,坂,slope,"slope, incline, hill "
924,板,plank,"plank, board, plate, stage "
1250,妥,gentle,"gentle, peace, depravity "
613,浮,floating,"floating, float, rise to surface "
614,将,leader,"leader, commander, general, admiral, or, and again, soon, from now on, just about "
989,採,pick,"pick, take, fetch, take up "
1123,授,impart,"impart, instruct, grant, confer "
778,愛,love,"love, affection, favourite "
813,拡,broaden,"broaden, extend, expand, enlarge "
1052,弁,valve,"valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish "
950,治,reign,"reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve "
250,至,climax,"climax, arrive, proceed, reach, attain, result in "
940,到,arrival,"arrival, proceed, reach, attain, result in "
251,致,doth,"doth, do, send, forward, cause, exert, incur, engage "
686,互,mutually,"mutually, reciprocally, together "
606,棄,abandon,"abandon, throw away, discard, resign, reject, sacrifice "
2187,撤,remove,"remove, withdraw, disarm, dismantle, reject, exclude "
1056,充,allot,"allot, fill "
1057,銃,gun,"gun, arms "
1059,流,current,"current, a sink, flow, forfeit "
1649,岩,boulder,"boulder, rock, cliff "
1647,炭,charcoal,"charcoal, coal "
1650,崩,crumble,"crumble, die, demolish, level "
1383,密,secrecy,"secrecy, density (pop), minuteness, carefulness "
1161,貧,poverty,"poverty, poor "
1037,容,contain,"contain, form, looks "
1038,溶,melt,"melt, dissolve, thaw "
322,賞,prize,"prize, reward, praise "
319,党,party,"party, faction, clique "
598,波,waves,"waves, billows, Poland "
596,破,rend,"rend, rip, tear, break, destroy, defeat, frustrate "
1949,被,incur,"incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving "
1208,殊,particularly,"particularly, especially, exceptionally "
718,列,file,"file, row, rank, tier, column "
1113,趣,gist,"gist, proceed to, tend, become "
1282,撮,snapshot,"snapshot, take pictures "
1670,恥,shame,"shame, dishonor "
1087,職,post,"post, employment, work "
1669,聴,listen,"listen, headstrong, naughty, careful inquiry "
843,置,placement,"placement, put, set, deposit, leave behind, keep, employ, pawn "
1549,環,ring,"ring, circle, link, wheel "
565,夫,husband,"husband, man "
1167,替,exchange,"exchange, spare, substitute, per- "
695,蔵,storehouse,"storehouse, hide, own, have, possess "
1974,臓,entrails,"entrails, viscera, bowels "
483,巨,gigantic,"gigantic, big, large, great "
2014,拒,repel,"repel, refuse, reject, decline "
542,労,labor,"labor, thank for, reward for, toil, trouble "
1341,募,recruit,"recruit, campaign, gather (contributions), enlist, grow violent "
2048,努,toil,"toil, diligent, as much as possible "
1147,加,add,"add, addition, increase, join, include, Canada "
1496,脅,threaten,"threaten, coerce "
865,復,restore,"restore, return to, revert, resume "
387,得,gain,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit "
869,従,accompany,"accompany, obey, submit to, comply, follow, secondary, incidental, subordinate "
866,往,journey,"journey, chase away, let go, going, travel "
2188,徹,penetrate,"penetrate, clear, pierce, strike home, sit up (all night) "
2190,徴,indications,"indications, sign, omen, symptom, collect, seek, refer to, question "
2189,微,delicate,"delicate, minuteness, insignificance "
588,程,extent,"extent, degree, law, formula, distance, limits, amount "
1384,秘,secret,"secret, conceal "
396,委,committee,"committee, entrust to, leave to, devote, discard "
1782,秀,excel,"excel, excellence, beauty, surpass "
1785,透,transparent,"transparent, permeate, filter, penetrate "
1783,誘,entice,"entice, lead, tempt, invite, ask, call for, seduce, allure "
1729,菌,germ,"germ, fungus, bacteria "
1773,迷,astray,"astray, be perplexed, in doubt, lost, err, illusion "
1622,粋,chic,"chic, style, purity, essence, pith, cream, elite, choice "
1562,奥,core,"heart, interior "
1099,球,ball,"ball, sphere "
1098,救,salvation,"salvation, save, help, rescue, reclaim "
579,笑,laugh,laugh 
936,策,scheme,"scheme, plan, policy, step, means "
1635,築,fabricate,"fabricate, build, construct "
577,位,rank,"rank, grade, throne, crown, about, some "
643,仲,go-between,"go-between, relationship "
118,件,affair,"affair, case, matter, item "
223,伝,transmit,"transmit, go along, walk along, follow, report, communicate, legend, tradition "
921,仮,provisional,"sham, temporary, interim, assumed (name), informal "
721,例,example,"example, custom, usage, precedent "
1610,健,healthy,"healthy, health, strength, persistence "
626,側,side,"side, lean, oppose, regret "
1424,停,halt,"halt, stopping "
941,倒,overthrow,"overthrow, fall, collapse, drop, break down "
323,償,reparation,"reparation, make up for, recompense, redeem "
1653,催,sponsor,"sponsor, hold (a meeting), give (a dinner) "
69,倍,double,"double, twice, times, fold "
780,優,tenderness,"tenderness, excel, surpass, actor, superiority, gentleness "
1307,傷,wound,"wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point "
64,付,adhere,"adhere, attach, refer to, append "
247,府,municipality,"borough, urban prefecture, govt office, representative body, storehouse "
372,任,responsibility,"responsibility, duty, term, entrust to, appoint "
1164,貨,freight,"freight, goods, property "
1917,傾,lean,"lean, incline, tilt, trend, wane, sink, ruin, bias "
904,久,long time,"long time, old story "
751,卒,graduate,"graduate, soldier, private, die "
2168,併,join,"join, get together, unite, collective "
468,液,fluid,"fluid, liquid, juice, sap, secretion "
1269,換,interchange,"interchange, period, charge, change? "
1287,融,dissolve,"dissolve, melt "
443,易,easy,"easy, ready to, simple, fortune-telling, divination "
1834,屈,yield,"yield, bend, flinch, submit "
2097,刷,printing,"printing, print "
1505,訳,translate,"translate, reason, circumstance, case "
1503,択,choose,"choose, select, elect, prefer "
1886,房,tassel,"tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room "
1019,戻,re-,"re-, return, revert, resume, restore, go backwards "
1020,涙,tears,"tears, sympathy "
1889,雇,employ,"employ, hire "
313,礼,salutation,"salute, bow, ceremony, thanks, remuneration "
1200,祝,celebrate,"celebrate, congratulate "
1484,福,blessing,"blessing, fortune, luck, wealth "
1485,祉,welfare,"welfare, happiness "
623,視,inspection,"inspection, regard as, see, look at "
1526,抽,pluck,"pluck, pull, extract, excel "
433,油,oil,"oil, fat "
1529,宙,mid-air,"mid-air, air, space, sky, memorization, interval of time "
873,伸,expand,"expand, stretch, extend, lengthen, increase "
316,神,gods,"gods, mind, soul "
1527,捜,search,"search, look for, locate "
1697,析,chop,"chop, divide, tear, analyze "
1698,折,fold,"fold, break, fracture, bend, yield, submit "
849,断,severance,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting "
1708,訴,accusation,"accusation, sue, complain of pain, appeal to "
1013,侵,encroach,"encroach, invade, raid, trespass, violate "
1015,寝,lie down,"lie down, sleep, rest, bed, remain unsold "
1017,婦,lady,"lady, woman, wife, bride "
972,争,contend,"contend, dispute, argue "
1616,糖,sugar,sugar 
1611,康,sane,"ease, peace "
1608,逮,apprehend,"apprehend, chase "
2111,需,demand,"demand, request, need "
2114,端,edge,"edge, origin, end, point, border, verge, cape "
177,両,both,"both, old Japanese coin, counter for vehicles, two "
1221,錯,confused,"confused, mix, be in disorder "
808,散,scatter,"scatter, disperse, spend, squander "
769,焼,bake,"bake, burning "
744,判,judgment,"judgement, signature, stamp, seal "
922,片,one-sided,"one-sided, leaf, sheet "
923,版,printing block,"printing block, printing plate, edition, impression, label "
1758,乏,destitution,"destitution, scarce, limited "
552,否,negate,"negate, no, noes, refuse, decline, deny "
688,柔,tender,"tender, weakness, gentleness, softness "
687,務,task,"task, duties "
1050,汚,dirty,"dirty, pollute, disgrace, rape, defile "
858,与,bestow,"bestow, participate in, give, award, impart, provide, cause, gift, godsend "
60,身,somebody,"somebody, person, one's station in life "
1021,射,shoot,"shoot, shine into, onto, archery "
1022,謝,apologize,"apologize, thank, refuse "
707,著,renowned,"renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work "
1448,諸,various,"various, many, several, together "
1933,狭,cramped,"cramped, narrow, contract, tight "
1181,追,chase,"chase, drive away, follow, pursue, meanwhile "
748,師,expert,"expert, teacher, master, army, war "
290,官,bureaucrat,"bureaucrat, the government "
1839,管,pipe,"pipe, tube, wind instrument, drunken talk "
693,較,contrast,"contrast, compare "
1604,促,stimulate,"stimulate, urge, press, demand, incite "
2013,距,long-distance,long-distance 
1327,躍,leap,"leap, dance, skip "
465,骨,skeleton,"skeleton, bone, remains, frame "
1493,滑,slippery,"slippery, slide, slip, flunk "
1461,障,hinder,"hinder, hurt, harm "
1310,陽,sunshine,"sunshine, yang principle, positive, male, heaven, daytime "
174,防,ward off,"ward off, defend, protect, resist "
586,隊,regiment,"regiment, party, company, squad "
2211,墜,crash,"crash, fall (down) "
962,隣,neighboring,neighboring 
1286,隔,isolate,"isolate, alternate, distance, separate, gulf "
1564,突,stab,"stab, protruding, thrusting, thrust, pierce, prick "
1714,探,grope,"grope, search, look for "
1715,深,deep,"deep, heighten, intensify, strengthen "
907,兵,soldier,"soldier, private, troops, army, warfare, strategy, tactics "
1088,織,weave,"weave, fabric "
875,縮,shrink,"shrink, contract, shrivel, wrinkle, reduce "
871,縦,vertical,"vertical, length, height, self-indulgent, wayward "
1419,締,tighten,"tighten, tie, shut, lock, fasten "
1450,緒,thong,"thong, beginning, inception, end, cord, strap "
1058,統,overall,"overall, relationship, ruling, governing "
526,給,salary,"salary, wage, gift, allow, grant, bestow on "
1762,級,class,"class, rank, grade "
428,紀,chronicle,"chronicle, account, narrative, history, annals, geologic period "
1156,納,settlement,"settlement, obtain, reap, pay, supply, store "
1620,紛,distract,"distract, be mistaken for, go astray, divert "
1106,紹,introduce,"introduce, inherit, help "
239,細,dainty,"dainty, get thin, taper, slender, narrow "
1735,索,cord,"cord, rope "
557,総,general,"general, whole, all, full, total "
1811,繰,winding,"winding, reel, spin, turn (pages), look up, refer to "
848,継,inherit,"inherit, succeed, patch, graft (tree) "
607,緑,green,green 
2035,緊,tense,"tense, solid, hard, reliable, tight "
232,命,fate,"fate, command, decree, destiny, life, appoint "
229,令,orders,"orders, ancient laws, command, decree "
676,齢,age,age 
675,冷,cool,"cool, cold (beer, person), chill "
1922,領,jurisdiction,"jurisdiction, dominion, territory, fief, reign "
1350,疑,doubt,"doubt, distrust, be suspicious, question "
727,範,pattern,"pattern, example, model "
735,犯,crime,"crime, sin, offense "
730,宛,address,"address, just like, fortunately "
1141,卵,egg,"egg, ovum, spawn, roe "
1170,留,detain,"detain, fasten, halt, stop "
1169,貿,trade,"trade, exchange "
231,印,stamp,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India "
505,興,entertain,"entertain, revive, retrieve, interest, pleasure "
800,酸,acid,"acid, bitterness, sour, tart "
162,頭,head,"head, counter for large animals "
513,豊,bountiful,"bountiful, excellent, rich "
1212,喜,rejoice,"rejoice, take pleasure in "
197,皿,dish,"dish, a helping, plate "
198,血,blood,blood 
1305,盟,alliance,"alliance, oath "
1304,盗,steal,"steal, rob, pilfer "
2027,監,oversee,"oversee, official, govt office, rule, administer "
1306,塩,salt,salt 
284,根,root,"root, radical, head (pimple) "
390,即,instant,"instant, namely, as is, conform, agree, adapt "
1091,退,retreat,"retreat, withdraw, retire, resign, repel, expel, reject "
500,養,foster,"foster, bring up, rear, develop, nurture "
1820,既,previously,"previously, already, long ago "
1821,概,outline,"outline, condition, approximation, generally "
1765,呼,call,"call, call out to, invite "
745,評,evaluate,"evaluate, criticism, comment "
1067,希,hope,"hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal "
1971,胸,bosom,"bosom, breast, chest, heart, feelings "
1970,離,detach,"detach, separation, disjoin, digress "
522,殺,kill,"kill, murder, butcher, slice off, split, diminish, reduce, spoil "
1101,純,genuine,"genuine, purity, innocence, net (profit) "
1462,辛,spicy,"spicy, bitter, hot, acrid "
1465,辞,resign,"resign, word, term, expression "
1466,壁,wall,"wall, lining (stomach), fence "
1469,避,evade,"evade, avoid, avert, ward off, shirk, shun "
1470,幸,happiness,"happiness, blessing, fortune "
1432,陸,land,"land, six "
1434,勢,forces,"forces, energy, military strength "
2161,核,nucleus,"nucleus, core, kernel "
2159,刻,engrave,"engrave, cut fine, chop, hash, mince, time, carving "
994,述,mention,"mention, state, speak, relate "
133,毒,poison,"poison, virus, venom, germ, harm, injury, spite "
132,素,elementary,"elementary, principle, naked, uncovered "
976,精,refined,"refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill "
974,清,pure,"pure, purify, cleanse, exorcise, Manchu dynasty "
978,静,quiet,quiet 
831,責,blame,"blame, condemn, censure "
836,績,exploits,"exploits, unreeling cocoons "
832,積,volume,"volume, product (x*y), acreage, contents, pile up, stack, load, amass "
833,債,bond,"bond, loan, debt "
1570,潔,undefiled,"undefiled, pure, clean, righteous, gallant "
1568,契,pledge,"pledge, promise, vow "
413,害,harm,"harm, injury "
755,星,star,"star, spot, dot, mark "
1910,籍,enroll,"enroll, domiciliary register, membership "
1732,勤,diligence,"diligence, become employed, serve "
1007,剰,surplus,"surplus, besides "
1771,含,include,"include, bear in mind, understand, cherish "
230,念,wish,"wish, sense, idea, thought, feeling, desire, attention "
1209,序,preface,"preface, beginning, order, precedence, occasion, chance, incidentally "
165,預,deposit,"deposit, custody, leave with, entrust to "
2058,嫌,dislike,"dislike, detest, hate "
1987,腰,loins,"loins, hips, waist, low wainscoting "
739,排,repudiate,"repudiate, exclude, expel, reject "
1856,悲,sad,"jail cell, grieve, sad, deplore, regret "
741,罪,guilt,"guilt, sin, crime, fault, blame, offense "
1675,候,climate,"climate, season, weather "
331,快,cheerful,"cheerful, pleasant, agreeable, comfortable "
661,衛,defense,"defense, protection "
409,刊,publish,"publish, carve, engrave "
1648,岸,beach,beach 
1808,幹,tree trunk,tree trunk 
1542,宇,eaves,"eaves, roof, house, heaven "
995,余,too much,"too much, myself, surplus, other, remainder "
996,除,exclude,"exclude, division (x/3), remove, abolish, cancel, except "
997,徐,gradually,"gradually, slowly, deliberately, gently "
1000,途,route,"route, way, road "
999,斜,diagonal,"diagonal, slanting, oblique "
1001,塗,paint,"paint, plaster, daub, smear, coating "
1567,衝,collide,"collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick "
618,症,symptoms,"symptoms, illness "
1801,匹,equal,"equal, head, counter for small animals, roll of cloth "
1385,欧,Europe,Europe 
149,廃,abolish,"abolish, obsolete, cessation, discarding, abandon "
952,療,heal,"heal, cure "
1281,影,shadow,"shadow, silhouette, phantom "
180,顔,face,"face, expression "
2018,膨,swell,"swell, get fat, thick "
1238,参,visit,"nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love "
1239,惨,wretched,"wretched, disaster, cruelty, harsh "
1676,修,discipline,"discipline, conduct oneself well, study, master "
2166,珍,rare,"rare, curious, strange "
2165,診,checkup,"checkup, seeing, diagnose, examine "
1234,渋,astringent,"astringent, hesitate, reluctant, have diarrhea "
1321,跡,tracks,"tracks, mark, print, impression "
777,恋,romance,"romance, in love, yearn for, miss, darling "
915,黄,yellow,yellow 
916,横,sideways,"sideways, side, horizontal, width, woof "
1271,絶,discontinue,"discontinue, beyond, sever, cut off, abstain, interrupt, suppress "
1042,甘,sweet,"sweet, coax, pamper, be content, sugary "
1177,貴,precious,"precious, value, prize, esteem, honor "
1179,遺,bequeath,"bequeath, leave behind, reserve "
1180,遣,dispatch,"despatch, send, give, donate, do, undertake "
264,組,association,"association, braid, plait, construct, assemble, unite, cooperate, grapple "
642,助,help,"help, rescue, assist "
200,湿,damp,"damp, wet, moist "
358,洪,deluge,"deluge, flood, vast "
1346,暴,outburst,"outburst, rave, fret, force, violence, cruelty, outrage "
1347,爆,bomb,"bomb, burst open, pop, split "
1502,選,elect,"elect, select, choose, prefer "
435,囲,surround,"surround, besiege, store, paling, enclosure, encircle, preserve, keep "
344,触,contact,"contact, touch, feel, hit, proclaim, announce, conflict "
911,再,again,"again, twice, second time "
918,講,lecture,"lecture, club, association "
919,購,subscription,"subscription, buy "
917,構,posture,"posture, build, pretend "
944,輪,wheel,"wheel, ring, circle, link, loop, counter for wheels and flowers "
1083,編,compilation,"compilation, knit, plait, braid, twist, editing, completed poem, part of a book "
824,冊,tome,"tome, counter for books, volume "
504,典,code,"code, ceremony, law, rule "
480,抵,resist,"resist, reach, touch "
482,底,bottom,"bottom, sole, depth, bottom price, base, kind, sort "
1596,捕,catch,"catch, capture "
1598,補,supplement,"supplement, supply, make good, offset, compensate, assistant, learner "
1297,響,echo,"echo, also N5116, sound, resound, ring, vibrate "
1367,派,faction,"faction, group, party, clique, sect, school "
820,司,director,"director, official, govt office, rule, administer "
822,詞,parts of speech,"part of speech, words, poetry "
823,飼,domesticate,"domesticate, raise, keep, feed "
1903,暇,spare time,"spare time, rest, leisure, time, leave of absence "
655,沈,sink,"sink, be submerged, subside, be depressed, aloes "
1457,妻,wife,"wife, spouse "
592,革,leather,"leather, become serious, skin, hide, pelt "
529,声,voice,voice 
1480,誤,mistake,"mistake, err, do wrong, mislead "
959,承,acquiesce,"acquiesce, hear, listen to, be informed, receive "
1712,極,poles,"poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48 "
1512,翻,flip,"flip, turn over, wave, flutter, change (mind) "
1540,宅,home,"home, house, residence, our house, my husband "
1539,託,consign,"consign, requesting, entrusting with, pretend, hint "
1236,為,do,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of "
1237,偽,falsehood,"falsehood, lie, deceive, pretend, counterfeit, forgery "
2020,張,lengthen,"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent) "
880,展,unfold,"unfold, expand "
461,戦,war,"war, battle, match "
1075,弾,bullet,"bullet, twang, flip, snap "
1249,桜,cherry tree,cherry 
1973,脳,brain,"brain, memory "
1972,悩,trouble,"trouble, worry, in pain, distress, illness "
810,厳,stern,"stern, strictness, severity, rigidity "
1247,挙,raise,"raise, plan, project, behavior, actions "
340,鳥,bird,"bird, chicken "
2157,鳴,chirp,"chirp, cry, bark, sound, ring, echo, honk "
1124,援,abet,"abet, help, save "
1126,緩,slacken,"slacken, loosen, relax, lessen, be moderate, ease "
1872,属,belong,"belong, genus, subordinate official, affiliated "
1775,逆,inverted,"inverted, reverse, opposite, wicked "
1369,揺,swing,"swing, shake, sway, rock, tremble, vibrate "
1283,就,concerning,"concerning, settle, take position, depart, study, per "
1272,免,excuse,"excuse, dismissal "
1277,象,elephant,"elephant, pattern after, imitate, image, shape, sign (of the times) "
1278,像,statue,"statue, picture, image, figure, portrait "
336,馬,horse,horse 
367,駐,parking,"stop-over, reside in, resident "
1390,騒,boisterous,"boisterous, make noise, clamor, disturb, excite "
807,驚,wonder,"wonder, be surprised, frightened, amazed "
2002,劇,drama,"drama, play "
914,演,performance,"performance, act, play, render, stage "
902,震,quake,"quake, shake, tremble, quiver, shiver "
903,振,shake,"shake, wave, wag, swing "
511,農,agriculture,"agriculture, farmers "
512,濃,concentrated,"concentrated, thick, dark, undiluted "
1251,咲,blossom,"blossom, bloom "
1849,襲,attack,"attack, advance on, succeed to, pile, heap "
1774,謎,riddle,"riddle, puzzle, enigma, hint, tip "
2155,誰,who?,"who, someone, somebody "
1266,貼,affix,"stick, paste, apply "
1982,胆,gall bladder,"gall bladder, courage, pluck, nerve "
771,旧,olden times,"old times, old things, old friend, former, ex- "
52,舌,tongue,"tongue, reed, clapper "
381,寸,measurement,"measurement, foot/10 "
1865,卓,eminent,"eminent, table, desk, high "
82,貝,shellfish,shellfish 
772,児,newborn babe,"newborn babe, child, young of animals "
1629,凡,mediocre,mediocre 
166,句,phrase,"phrase, clause, sentence, passage, paragraph, counter for haiku "
1997,肌,texture,"texture, skin, body, grain "
167,旬,decameron,"decameron, 10day period, season (for specific products "
1228,賄,bribe,"bribe, board, supply, finance "
85,刀,sword,"sword, saber, knife "
87,刃,blade,"blade, sword, edge "
1203,克,overcome,"overcome, kindly, skillfully "
1290,硝,nitrate,"nitrate, saltpeter "
1623,砕,smash,"smash, break, crush, familiar, popular "
1560,臭,stinking,"stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright "
207,泉,spring,"spring, fountain "
1105,沼,marsh,"marsh, lake, bog, swamp, pond "
645,沖,open sea,"open sea, offing, rise high into sky "
1499,江,creek,"creek, inlet, bay "
756,汁,soup,"soup, juice, broth, sap, gravy, pus "
146,潮,tide,"tide, salt water, opportunity "
1766,吐,spit,"spit, vomit, belch, confess, tell (lies) "
1397,垣,hedge,"hedge, fence, wall "
1837,封,seal,"seal, closing "
1976,炎,inflammation,"inflammation, flame, blaze "
1978,淡,thin,"thin, faint, pale, fleeting "
440,灯,lamp,"lamp, a light, light, counter for lights "
129,畑,farm,"farm, field, garden, one's specialty, (kokuji) "
1646,灰,ashes,"ashes, puckery juice, cremate "
1992,胴,trunk,"trunk, torso, hull (ship), hub of wheel "
1398,宣,proclaim,"proclaim, say, announce "
1294,宴,banquet,"banquet, feast, party "
1624,枠,frame,"frame, framework, spindle, spool, bounding-box, (kokuji) "
2227,棚,shelf,"shelf, ledge, rack, mount, mantle, trellis "
1049,枯,wither,"wither, die, dry up, be seasoned "
1967,机,desk,"desk, table "
854,暦,calendar,"calendar, almanac "
1041,寛,tolerant,"tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded "
1340,墓,grave,"grave, tomb "
1342,暮,livelihood,"livelihood, make a living, spend time "
1337,膜,membrane,membrane 
1828,眺,stare,"stare, watch, look at, see, scrutinize "
2074,鉢,bowl,"bowl, rice tub, pot, crown "
2132,釣,angling,"angling, fish, catch, allure, ensnare "
556,針,needle,"needle, pin, staple, stinger "
1546,銘,inscription,"inscription, signature (of artisan) "
1719,鎮,tranquillize,"tranquilize, ancient peace-preservation centers "
1146,迅,swift,"swift, fast "
1553,巡,patrol,"patrol, go around, circumference "
1968,冗,superfluous,"superfluous, uselessness "
934,輝,radiance,"radiance, shine, sparkle, gleam, twinkle "
1423,亭,pavilion,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name "
1285,鯨,whale,whale 
1606,津,haven,"haven, port, harbor, ferry "
515,詰,packed,"packed, close, pressed, reprove, rebuke, blame "
389,詩,poem,"poem, poetry "
1804,諾,consent,"consent, assent, agreement "
1319,栽,plantation,"plantation, planting "
1577,茂,overgrown,"overgrown, grow thick, be luxuriant "
1298,城,castle,castle 
1299,誠,sincerity,"sincerity, admonish, warn, prohibit, truth, fidelity "
2080,錠,lock,"lock, fetters, shackles "
1349,礎,cornerstone,"cornerstone, foundation stone "
2199,婿,bridegroom,"bridegroom, son-in-law "
1860,哀,pathetic,"pathetic, grief, sorrow, pathos, pity, sympathize "
204,布,linen,"linen, cloth "
1631,帆,sail,sail 
1339,幕,curtain,"curtain, bunting, act of play "
2084,瞳,pupil,pupil 
2083,鐘,bell,"bell, gong, chimes "
1119,滴,drip,"drip, drop "
2267,渇,thirst,"thirst, dry up, parch "
